Offence Level 2,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
THEFT AND RELATED OFFENCES,3757,3334,3840,4353,4716
ACTS INTENDED TO CAUSE INJURY,1211,1345,1520,1633,1794
PROPERTY DAMAGE AND ENVIRONMENTAL,973,1115,1192,1084,1140
SERIOUS CRIMINAL TRESPASS,487,399,533,388,454
FRAUD DECEPTION AND RELATED OFFENCES,248,209,279,299,249
ROBBERY AND RELATED OFFENCES,63,71,68,77,91
OTHER OFFENCES AGAINST THE PERSON,60,75,64,73,77
HOMICIDE AND RELATED OFFENCES,0,2,4,0,0
